,Pre-crash scenario,Appearance,First glance,Anomaly start,Evasive maneuver,Collision,Anomaly end
0,2,2.2355024605024605,2.3689652939652937,3.703593628593629,5.446219205856323,6.039193214193213,6.606410256410255
1,4,1.6349197099197097,2.702622377622377,4.404273504273504,4.930001735687256,5.371879046879046,9.709421134421133
2,2,4.604467754467754,4.604467754467754,5.2050505050505045,6.452505588531494,6.73987308987309,7.307090132090131
3,3,2.8027195027195027,2.869450919450919,5.004856254856255,4.626638174057007,5.4386104636104635,5.605439005439005
4,3,0.3002913752913753,2.5024281274281277,4.604467754467754,4.4924981594085684,5.805633255633255,7.307090132090131
5,1,0.06673141673141672,0.5672170422170422,5.605439005439005,6.158411979675293,6.73987308987309,7.807575757575758
6,3,0.06673141673141672,1.6349197099197097,2.702622377622377,2.8327028751373287,3.2031080031080026,6.005827505827504
7,3,1.5332375718211342,1.7665563327504366,2.2998563577317013,3.063774585723877,4.533050212340744,5.299668998251311
8,1,0.06666250312265799,0.366643767174619,4.0997439420434665,5.077059030532837,6.366269048213838,9.399412940294779
9,4,0.06666250312265799,0.8999437921558828,15.499031976017985,14.77635908126831,16.498969522857855,20.798700974269302
10,1,0.06666250312265799,0.366643767174619,5.8996315263552335,6.509202480316162,6.632919060704472,6.799575318511116
11,2,0.06666250312265799,0.299981264051961,0.499968773419935,0.9175751209259032,1.699893829627779,1.5999000749437922
12,4,0.06666250312265799,0.5333000249812639,1.199925056207844,2.3316054344177246,3.733100174868848,9.199425430926805
13,4,0.06666250312265799,0.8999437921558828,7.399537846615036,4.012382745742799,9.832719210592057,10.099369223082688
14,1,0.06666250312265799,0.033331251561328996,4.199737696727453,5.129600763320923,5.599650262303271,12.599213090182364
15,1,0.06666250312265799,1.3665813140144891,2.499843867099675,2.2599997520446777,2.933150137396952,4.6997064701473885
16,4,0.06666250312265799,0.26665001249063197,4.6997064701473885,5.018149614334106,5.399662752935297,8.099494129402947
17,1,0.06666250312265799,0.433306270297277,2.2998563577317013,3.4110791683197017,3.833093929552835,4.399725206095428
18,4,0.06666250312265799,0.599962528103922,3.699768923307518,4.144149303436278,4.899693979515364,6.199612790407194
19,3,1.633231326505121,4.2664001998501115,4.899693979515364,4.826469421386719,5.399662752935297,7.599525355983013
20,2,1.2345801951170197,2.9029318101400183,3.4034372946469187,3.584531307220459,4.437815295961179,6.3063691047869375
21,3,1.2679472274174797,1.2679472274174797,2.5025274225345,2.618253231048584,3.703740585351059,4.904953748167619
22,1,0.06673406460091999,0.4337714199059799,4.004043876055199,4.592818737030028,5.3053581357731385,7.307380073800738
23,3,2.3690592933326595,3.0030329070413995,3.6036394884496783,4.052622556686401,4.304347166759339,8.208289945913158
24,3,0.9676759905478926,1.1011485409682915,3.703863274166072,3.723841905593872,4.337857888662967,4.504698576688465
25,3,3.003132384458977,3.0698686596691767,3.803967686981371,3.615968942642212,4.471330439083366,5.906160356102655
26,1,4.738275539924164,4.704907402319064,6.106369181733253,6.347661018371582,7.0073088970709465,7.8081441995933405
27,2,0.9343078529427928,2.5693465955926804,3.3034456229048748,3.831858158111572,6.2064735945485525,6.907204484255647
28,3,3.169973072484476,3.169973072484476,3.9040720997966702,4.655278205871582,5.472374567236358,7.107413309886246
29,3,2.4692421827773807,3.4369181733252736,4.704907402319064,4.365370988845825,5.839424080892456,8.508875089300435
30,3,3.3701818981150744,3.3701818981150744,3.803967686981371,4.862128973007202,5.038588778370062,7.607935373962742
31,3,2.369137769962082,2.7028191460130797,3.2033412100895755,3.8296205997467037,4.5714348518986645,5.806055943287356
32,3,0.5672583392866957,5.205429466395559,5.305533879210858,5.551358699798584,6.37331428257405,6.907204484255647
33,1,0.06673551585252505,0.4004130951151503,3.1032014871424143,4.009605407714844,5.4723122999070535,6.907125890736343
34,3,4.404544046266653,4.671486109676753,4.2043374987090765,1.658292293548584,4.6381183517504905,6.3065062480636165
35,3,1.1678715274191882,1.668387896313126,1.3013425591242382,2.476107597351074,2.6360528761747397,5.205370236496953
36,4,3.3701435505525152,3.7038211298151404,9.309604461427243,6.412755012512207,10.410740472993906,11.712083032118144
37,3,0.06673551585252505,0.834193948156563,1.7017556542393886,2.8758931159973145,3.670453371888877,5.505680057833317
38,2,2.402478570690901,2.502581844469689,3.2033047609212018,4.009847402572632,4.871692657234329,7.607848807187855
39,3,0.3,1.7666666666666666,4.3,4.3882694244384775,5.6,7.8
40,1,0.06666666666666668,1.5666666666666669,1.9,2.7589714527130127,4.566666666666666,6.7
41,4,0.06666666666666668,0.5333333333333333,4.0,3.775813341140747,5.7333333333333325,8.7
42,3,0.06666666666666668,0.6,1.8,3.8787999153137207,3.7666666666666666,5.8
43,1,0.06666666666666668,0.26666666666666666,3.4,3.842808961868286,4.633333333333334,6.4
44,2,0.06666666666666668,0.3,1.3,2.152113676071167,2.9,4.3
45,4,3.3,3.3,3.8,4.4595787525177,5.6,7.3
46,4,0.06666666666666668,0.3333333333333333,3.7,4.061391592025757,4.833333333333333,9.1
47,3,0.06666666666666668,1.4666666666666666,3.4,3.2551255226135254,4.2,12.6
48,1,0.06666666666666668,0.03333333333333333,4.0,6.3111417293548575,7.333333333333332,8.7
49,3,0.06666666666666668,0.5666666666666667,3.6,3.7773864269256587,4.5,6.2
50,2,1.4,1.5,3.7,3.245557308197021,5.366666666666666,5.5
51,1,0.06666666666666668,1.6,1.5,3.0998837947845463,4.266666666666667,5.8
52,3,0.06666666666666668,3.0,2.6,3.0462567806243896,3.533333333333333,4.5
53,1,0.16666666666666666,0.6666666666666666,3.0,3.6878530979156494,4.666666666666667,4.9
